Time,Fz_True,Fz_Predict,Fz_Error
19.419211899999993,9.806613361003592e-05,5.4808784,5.48078
19.665823999999986,9.806613361003592e-05,5.318903,5.3188047
19.93265009999999,0.00019613226722007185,5.351817,5.351621
20.207196100000004,9.806613361003592e-05,5.388186,5.3880877
20.457550199999986,9.806613361003592e-05,5.344659,5.3445606
20.709868599999993,9.806613361003592e-05,5.369079,5.368981
20.964257799999984,9.806613361003592e-05,5.3988037,5.3987055
21.25066960000001,9.806613361003592e-05,5.313526,5.313428
21.5308249,0.0,5.397129,5.397129
21.796840500000002,9.806613361003592e-05,5.3936567,5.3935585
22.05987300000001,0.0,5.391055,5.391055
22.329750200000007,0.00019613226722007185,5.3489523,5.3487563
22.61742509999999,0.0014709920954817449,5.366872,5.365401
22.922961200000003,0.00019613226722007185,5.381919,5.381723
23.24199490000001,9.806613361003592e-05,5.3994317,5.3993335
23.53950259999999,0.005491703628291941,5.3692923,5.3638005
23.847297199999986,1.0098850994089907,5.393014,4.383129
24.167849899999993,4.538696969013246,5.3730574,0.8343606
24.490069000000005,6.7914719533533106,5.352639,-1.4388328
24.796956800000004,3.228043123874538,5.3237495,2.0957065
25.116026799999986,0.0012748597186642257,5.3101654,5.3088903
25.438278999999994,0.0,5.3510804,5.3510804
25.74736630000001,0.035794140502956026,5.3254642,5.28967
26.0814364,2.757129348217985,5.401808,2.6446784
26.394092299999983,5.608598271193625,5.332463,-0.27613544
26.7273232,6.405581948391777,5.3475094,-1.0580726
27.02312839999999,5.607911736417227,5.368697,-0.23921442
27.33155880000001,0.004511042328724064,5.4125586,5.4080477
27.665796599999993,0.07080374799152366,5.384066,5.3132625
28.02009689999997,5.97477748563944,5.375367,-0.59941053
28.34209100000001,0.20701761866347196,5.3536696,5.146652
28.6457834,0.0012748597186642257,5.410304,5.409029
28.970794100000006,0.00029419840083010773,5.339258,5.338964
29.264230700000013,0.0,5.3603506,5.3603506
29.57708870000002,9.806613361003592e-05,5.364135,5.3640366
29.899206299999975,9.806613361003592e-05,5.37521,5.3751116
30.216773599999982,0.0,5.375373,5.375373
30.559249800000003,9.806613361003592e-05,5.39322,5.3931217
30.884942800000005,0.0,5.3890953,5.3890953
31.235344099999992,0.0,5.344977,5.344977
31.572037999999992,0.0,5.3295326,5.3295326
31.912648599999983,0.0,5.368731,5.368731
32.24664800000002,0.0,5.364685,5.364685
32.585883499999994,0.0,5.3817205,5.3817205
32.91747330000001,0.0,5.340171,5.340171
33.26066269999998,0.0,5.4158325,5.4158325
33.59463910000002,0.0,5.3497543,5.3497543
33.935734,0.0,5.338204,5.338204
34.26385100000002,0.0,5.3651023,5.3651023
34.60069610000002,0.0,5.4103527,5.4103527
34.94325619999998,0.0,5.406139,5.406139
35.25760440000002,0.0,5.4280376,5.4280376
35.604862,0.0,5.347774,5.347774
35.93990340000002,0.0,5.4056573,5.4056573
36.2786581,0.0,5.332811,5.332811
36.601068200000014,0.0,5.3605103,5.3605103
36.93650899999997,0.0,5.3825607,5.3825607
37.27256320000001,0.0,5.340619,5.340619
