Time,Fx_True,Fy_True,Fz_True,Fx_Pred(rgb),Fy_Pred(rgb),Fz_Pred(rgb),Fx_Err(rgb),Fy_Err(rgb),Fz_Err(rgb),Fx_Pred(hs),Fy_Pred(hs),Fz_Pred(hs),Fx_Err(hs),Fy_Err(hs),Fz_Err(hs),Fx_Pred(g),Fy_Pred(g),Fz_Pred(g),Fx_Err(g),Fy_Err(g),Fz_Err(g)
2.4729146999889053,0.0,-0.002595155732706189,0.004118777575089026,-1.7975878715515137,-0.3435630798339844,8.579041481018066,-1.7975878715515137,-0.3409679241012782,8.574922703442978,-1.1979267597198486,2.0165395736694336,6.318045616149902,-1.1979267597198486,2.01913472940214,6.3139268385748135,-1.7850711345672607,0.7585325241088867,7.292302131652832,-1.7850711345672607,0.7611276798415929,7.288183354077743
7.473766700000851,0.0,-0.0034602077212184668,0.004216843909627716,-1.7911162376403809,-0.3175773620605469,8.56181812286377,-1.7911162376403809,-0.3141171543393284,8.557601278954142,-1.207681655883789,1.8908348083496094,6.083716869354248,-1.207681655883789,1.8942950160708278,6.07950002544462,-1.8063857555389404,0.8148412704467773,7.3702569007873535,-1.8063857555389404,0.8183014781679958,7.366040056877726
8.272011799999746,0.0,-0.002595155732706189,0.004216843909627716,-1.7882509231567383,-0.33976078033447266,8.521657943725586,-1.7882509231567383,-0.33716562460176647,8.517441099815958,-1.1627774238586426,1.9992094039916992,5.996626853942871,-1.1627774238586426,2.0018045597244054,5.992410010033243,-1.6823256015777588,0.9067654609680176,7.525554656982422,-1.6823256015777588,0.9093606167007238,7.521337813072794
8.86410249999608,0.0,-0.0069204154424369335,0.004216843909627716,-1.7682468891143799,-0.3208928108215332,8.524033546447754,-1.7682468891143799,-0.31397239537909627,8.519816702538126,-1.1610679626464844,1.9344453811645508,5.998605728149414,-1.1610679626464844,1.9413657966069877,5.994388884239786,-1.6946794986724854,0.8946757316589355,7.486530303955078,-1.6946794986724854,0.9015961471013725,7.48231346004545
9.42304019999574,0.0,0.0,0.004216843909627716,-1.7896127700805664,-0.3695502281188965,8.53127384185791,-1.7896127700805664,-0.3695502281188965,8.527056997948282,-1.241529941558838,1.9403352737426758,6.158998489379883,-1.241529941558838,1.9403352737426758,6.154781645470255,-1.692824363708496,0.8645482063293457,7.48764705657959,-1.692824363708496,0.8645482063293457,7.483430212669962
9.950292900000932,0.0,-0.0034602077212184668,0.004118777575089026,-1.7944560050964355,-0.33013391494750977,8.543427467346191,-1.7944560050964355,-0.3266737072262913,8.539308689771103,-1.1810407638549805,2.008340835571289,6.125653266906738,-1.1810407638549805,2.0118010432925075,6.1215344893316495,-1.8339464664459229,0.8221573829650879,7.411620616912842,-1.8339464664459229,0.8256175906863064,7.407501839337753
10.518810299996403,0.0,0.002944640815258026,0.004314909951906545,-1.791551113128662,-0.32177019119262695,8.609682083129883,-1.791551113128662,-0.324714832007885,8.605367173177976,-1.2926287651062012,1.8794102668762207,6.0875630378723145,-1.2926287651062012,1.8764656260609627,6.083248127920408,-1.7654809951782227,0.8465118408203125,7.367743492126465,-1.7654809951782227,0.8435672000050545,7.363428582174558
11.068710399995325,0.0,-0.012975778430700302,0.004118777575089026,-1.7905819416046143,-0.3352241516113281,8.586204528808594,-1.7905819416046143,-0.3222483731806278,8.582085751233505,-1.2287309169769287,1.975390911102295,6.242243766784668,-1.2287309169769287,1.9883666895329952,6.238124989209579,-1.7760288715362549,0.8263678550720215,7.366769313812256,-1.7760288715362549,0.8393436335027218,7.362650536237167
11.660681699999259,0.0,-0.0008650519303046167,0.004118777575089026,-1.8030545711517334,-0.3046245574951172,8.588386535644531,-1.8030545711517334,-0.30375950556481257,8.584267758069442,-1.138305902481079,2.0741944313049316,6.277590751647949,-1.138305902481079,2.0750594832352363,6.27347197407286,-1.7814686298370361,0.8794665336608887,7.402336597442627,-1.7814686298370361,0.8803315855911933,7.398217819867538
12.271790699989651,0.0,0.007361602038145065,0.004020711532810196,1.515716552734375,-1.1639201641082764,7.639432430267334,1.515716552734375,-1.1712817661464214,7.635411718734524,-0.4268636703491211,0.6558442115783691,6.986072063446045,-0.4268636703491211,0.6484826095402241,6.982051351913235,2.158174514770508,5.0578508377075195,9.61886215209961,2.158174514770508,5.0504892356693745,9.6148414405668
12.928890600000159,-0.059139784425497055,-0.0034602077212184668,0.3592162659172639,-1.2286951541900635,-0.812586784362793,4.258022308349609,-1.1695553697645664,-0.8091265766415745,3.8988060424323456,-0.49308252334594727,1.5375404357910156,4.415276050567627,-0.4339427389204502,1.541000643512234,4.056059784650363,-1.4614465236663818,2.4747490882873535,4.553624153137207,-1.4023067392408848,2.478209296008572,4.194407887219943
13.651399700000184,-0.025985663756728172,0.017410061438567936,0.8188522339465736,-1.906458854675293,-1.265805959701538,3.9549639225006104,-1.8804731909185648,-1.283216021140106,3.1361116885540365,-1.0781266689300537,1.438502311706543,5.206491947174072,-1.0521410051733255,1.421092250267975,4.3876397132274985,-1.499898910522461,2.369680881500244,4.262385845184326,-1.4739132467657328,2.352270820061676,3.4435336112377524
14.327820499995141,0.017047036439180374,-0.0017301038606092334,0.0886517863909017,-1.2408394813537598,-0.7371644973754883,3.8752591609954834,-1.2578865177929401,-0.735434393514879,3.7866073746045816,-1.318713665008545,1.4758234024047852,5.382512092590332,-1.3357607014477253,1.4775535062653944,5.293860306199431,-1.1707587242126465,2.1426658630371094,3.5901193618774414,-1.1878057606518269,2.1443959668977186,3.5014675754865396
15.14984439998807,0.289751959964633,-0.0034602077212184668,1.1386459087823282,-1.0677220821380615,0.8791542053222656,6.709353446960449,-1.3574740421026945,0.8826144130434841,5.570707538178121,-0.6631746292114258,2.1108760833740234,5.414788246154785,-0.9529265891760588,2.114336291095242,4.276142337372457,-1.3690381050109863,4.827602386474609,7.904106140136719,-1.6587900649756193,4.831062594195828,6.765460231354391
15.627685699990252,0.18866991996765137,-0.0069204154424369335,2.8214607093621598,-1.3900959491729736,0.7016654014587402,7.024762153625488,-1.578765869140625,0.7085858169011772,4.203301444263328,-0.7704892158508301,2.2061991691589355,5.829077243804932,-0.9591591358184814,2.2131195846013725,3.007616534442772,-1.4384188652038574,4.615232467651367,7.798133850097656,-1.6270887851715088,4.622152883093804,4.976673140735496
16.510792099987157,0.10322532057762146,-0.005190311465412378,7.6513157602393305,-1.5583930015563965,1.1509838104248047,8.048494338989258,-1.661618322134018,1.156174121890217,0.39717857874992735,-0.9183812141418457,2.1834750175476074,6.015923500061035,-1.0216065347194672,2.18866532901302,-1.6353922601782953,-1.0311880111694336,4.614301681518555,8.077238082885742,-1.134413331747055,4.619491992983967,0.4259223226464117
17.103796399998828,0.11997386813163757,-0.011245674453675747,8.810359443224918,-1.6929433345794678,1.0637378692626953,7.993807315826416,-1.8129172027111053,1.074983543716371,-0.8165521273985021,-0.8016090393066406,2.236133098602295,5.859975337982178,-0.9215829074382782,2.2473787730559707,-2.9503841052427404,-0.9396905899047852,4.6213178634643555,8.056690216064453,-1.0596644580364227,4.632563537918031,-0.753669227160465
17.71348890000081,0.21841225028038025,-0.0069204154424369335,9.739536079948724,-1.697843074798584,0.9746809005737305,7.981991291046143,-1.9162553250789642,0.9816013160161674,-1.7575447889025817,-0.6967315673828125,2.2133870124816895,5.680116653442383,-0.9151438176631927,2.2203074279241264,-4.0594194265063415,-0.8477191925048828,4.506731986999512,7.929003715515137,-1.066131442785263,4.513652402441949,-1.8105323644335876
18.337927499989746,0.08572427928447723,-0.011245674453675747,3.9671675415302428,-1.9107606410980225,0.42679405212402344,7.443455696105957,-1.9964849203824997,0.4380397265776992,3.4762881545757143,-1.0368764400482178,1.7068796157836914,6.170973300933838,-1.122600719332695,1.7181252902373672,2.203805759403595,-1.4404206275939941,3.0845680236816406,6.206193923950195,-1.5261449068784714,3.0958136981353164,2.2390263824199526
